feature,importance,target
pm10_rolling_std_12h,0.02988148316129606,aqi_target_48h
pm10_rolling_mean_12h,0.026447651695759508,aqi_target_48h
pm2_5,0.02424337787783705,aqi_target_48h
wind_direction,0.021566473586317178,aqi_target_48h
no2,0.01792464016043029,aqi_target_48h
pm10_rolling_mean_6h,0.0158621969163243,aqi_target_48h
aqi_lag_1h,0.013272289298197074,aqi_target_48h
aqi_rolling_mean_24h,0.011961513833586571,aqi_target_48h
pm10_rolling_mean_24h,0.0116835877431707,aqi_target_48h
pm2_5_lag_1h,0.007863589137773207,aqi_target_48h
co,0.0029824378093995354,aqi_target_48h
month_cos,16.99691376684788,aqi_target_72h
aqi_change_rate_12h,3.28241252680262,aqi_target_72h
month_sin,3.137237046623034,aqi_target_72h
hour_cos,3.037039150538445,aqi_target_72h
hour_sin,2.7290524509037883,aqi_target_72h
pressure,1.0494297120869875,aqi_target_72h
pm2_5_rolling_mean_6h,1.0244750421762123,aqi_target_72h
pm2_5_rolling_mean_12h,1.0232508027817697,aqi_target_72h
is_weekend,0.9932132719277924,aqi_target_72h
pm2_5_rolling_mean_24h,0.7092695658335959,aqi_target_72h
pm2_5_lag_12h,0.4527312648069754,aqi_target_72h
aqi_change_rate_3h,0.4469690803473069,aqi_target_72h
aqi,0.42268989289516173,aqi_target_72h
pm2_5_rolling_std_24h,0.3842286012836384,aqi_target_72h
pm2_5_lag_3h,0.35126943762520174,aqi_target_72h
pm2_5_lag_6h,0.2798290993171169,aqi_target_72h
aqi_lag_12h,0.2712471457881157,aqi_target_72h
aqi_rolling_mean_12h,0.24768373238998267,aqi_target_72h
pm2_5_rolling_std_6h,0.23710941569462887,aqi_target_72h
so2,0.21862750870445496,aqi_target_72h
aqi_rolling_mean_6h,0.2177821089425828,aqi_target_72h
temperature,0.20940496108137804,aqi_target_72h
pm10_rolling_std_6h,0.19184166479656897,aqi_target_72h
aqi_rolling_std_6h,0.18949313160214004,aqi_target_72h
pm10_rolling_std_24h,0.18439753520352148,aqi_target_72h
aqi_change_rate_6h,0.162172603354037,aqi_target_72h
pm10_rolling_mean_24h,0.1576175210732692,aqi_target_72h
pm2_5,0.1547216734618422,aqi_target_72h
aqi_rolling_std_24h,0.15298609144980135,aqi_target_72h
hour,0.14253622552696185,aqi_target_72h
aqi_lag_3h,0.1381798984844016,aqi_target_72h
pm2_5_lag_24h,0.13155415210779367,aqi_target_72h
aqi_lag_24h,0.12200200157845574,aqi_target_72h
pm10_rolling_std_12h,0.11555257176407804,aqi_target_72h
pm10_lag_24h,0.0801629493786426,aqi_target_72h
pm10_lag_3h,0.07697133244732648,aqi_target_72h
pm10_lag_6h,0.0715177203448747,aqi_target_72h
pm10_lag_1h,0.07075566875581246,aqi_target_72h
aqi_rolling_std_12h,0.06987158402304997,aqi_target_72h
pm10_lag_12h,0.06968604973326756,aqi_target_72h
pm10_rolling_mean_6h,0.06932449078402111,aqi_target_72h
humidity,0.06722743330565327,aqi_target_72h
day_of_week,0.06679315115741749,aqi_target_72h
wind_speed,0.06619003256258793,aqi_target_72h
pm2_5_rolling_std_12h,0.0619861197780616,aqi_target_72h
no2,0.05169810526744111,aqi_target_72h
pm10_rolling_mean_12h,0.04408193820930794,aqi_target_72h
aqi_rolling_mean_24h,0.032898541945124524,aqi_target_72h
pm10,0.03163745499028421,aqi_target_72h
aqi_lag_1h,0.028160960310639107,aqi_target_72h
wind_direction,0.02134053553883401,aqi_target_72h
aqi_lag_6h,0.01888577865965001,aqi_target_72h
pm2_5_lag_1h,0.015225226836524188,aqi_target_72h
month,0.007249849028024123,aqi_target_72h
o3,0.004483579713960551,aqi_target_72h
co,0.0022246585527991637,aqi_target_72h
